"Part";"Value";"Device";"Package";"Description";"";
"C1";"22pf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C2";"22pf";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"C3";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";
"C4";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"C5";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";
"D1";"1N4007";"1N4004";"DO41-10";"DIODE";"";
"D2";"1N4733";"1N4728";"DO41Z10";"Z DIODE";"";
"D3";"1N4733";"1N4728";"DO41Z10";"Z DIODE";"";
"D4";"1N4004";"1N4004";"DO41-10";"DIODE";"";
"D5";"1N4007";"1N4004";"DO41-10";"DIODE";"";
"D6";"1N4007";"1N4004";"DO41-10";"DIODE";"";
"D7";"1N4007";"1N4004";"DO41-10";"DIODE";"";
"FLUX";"";"AK500/3";"AK500/3";"CONNECTOR";"";
"IC1";"786TV";"786TV";"TO220V";"Positive VOLTAGE REGULATOR";"";
"IHM";"";"MA04-1";"MA04-1";"PIN HEADER";"";
"K1";"G5LE";"G5LE";"G5LE";"RELAY";"";
"LED1";"led";"LED3MM";"LED3MM";"LED";"";
"OK1";"4N25M";"4N25M";"DIL06";"General Purpose 6-Pin Phototransistor Optocouplers";"";
"OK2";"4N25M";"4N25M";"DIL06";"General Purpose 6-Pin Phototransistor Optocouplers";"";
"POWER";"";"AK500/2";"AK500/2";"CONNECTOR";"";
"Q1";"16.0 mHz";"XTAL/S";"QS";"CRYSTAL";"";
"Q4";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";
"Q6";"IRF540";"IRF540";"TO220BV";"HEXFET Power MOSFET";"";
"Q7";"IRF540";"IRF540";"TO220BV";"HEXFET Power MOSFET";"";
"Q8";"IRF9530";"IRF9530";"TO220BV";"P-CHANNEL HEXFET POWER-MOS-FET";"";
"Q9";"IRF9530";"IRF9530";"TO220BV";"P-CHANNEL HEXFET POWER-MOS-FET";"";
"R3";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R4";"30k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R7";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R8";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R9";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R12";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R14";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R15";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R16";"30k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"RESET";"FSMCD";"FSMCD";"FSMCD";"TYCO SWITCH";"";
"SECTION";"";"AK500/3";"AK500/3";"CONNECTOR";"";
"SPEED";"";"AK500/3";"AK500/3";"CONNECTOR";"";
"SV1";"";"MA06-1";"MA06-1";"PIN HEADER";"";
"TELEMETRY";"";"MA04-1";"MA04-1";"PIN HEADER";"";
"U1";"ATMEGA328P-PU";"ATMEGA328P-PU";"DIP254P762X457-28";"8-bit Microcontroller with In-System Programmable Flash";"";
"VALVE";"";"AK500/2";"AK500/2";"CONNECTOR";"";
