"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SPICEMODEL";"SPICEPREFIX";"SUPPLIER";
"C1";"1000uF";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"100uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"D1";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";
"D2";"1N4004";"1N4004";"DO41-10";"DIODE";"";"";"";"";"";"";"";"";
"IC1";"786TV";"786TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"K3";"G5LE";"G5LE";"G5LE";"RELAY";"";"";"unknown";"unknown";"";"";"";"";
"POWER";"led";"LED3MM";"LED3MM";"LED";"";"";"";"";"";"";"";"";
"Q2";"BC548";"BC548";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";
"R1";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R2";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R3";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R4";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R5";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R6";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"R7";"1k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"RESET";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";"";"";
"SINAL";"TLLG4400";"TLLG4400";"LED3MM";"Low Current (2mA) LED 3 mm Tinted Diffused Package color GREEN";"VISHAY SEMICONDUCTOR";"";"1612435";"";"";"";"";"";
"U2";"ATTINY85-20PU";"ATTINY85-20PU";"DIP254P762X533-8";"8-bit Microcontroller with In-System Programmable Flash";"";"ATTINY85-20PU";"1455162";"58M3796";"PDIP-8";"";"";"Atmel";
"X4";"";"AK500/3";"AK500/3";"CONNECTOR";"";"";"unknown";"unknown";"";"";"";"";
"X5";"";"AK500/3";"AK500/3";"CONNECTOR";"";"";"unknown";"unknown";"";"";"";"";
"X6";"";"AK500/3";"AK500/3";"CONNECTOR";"";"";"unknown";"unknown";"";"";"";"";
"X7";"";"AK500/2";"AK500/2";"CONNECTOR";"";"";"unknown";"unknown";"";"";"";"";
